time_format,pm2_5,pm10,co,o3,humidity,temperature
2023-08-01 00:00:00,0.1320754716981132,9.0,14.0,1.0,60.6,13.3
2023-08-01 01:00:00,0.16981132075471697,10.0,13.0,1.0,63.5,12.9
2023-08-01 02:00:00,0.1320754716981132,11.0,13.0,1.0,64.8,12.8
2023-08-01 03:00:00,0.1320754716981132,8.0,12.0,1.0,66.0,12.5
2023-08-01 04:00:00,0.16981132075471697,10.0,13.0,1.0,67.3,12.3
2023-08-01 05:00:00,0.2358490566037736,14.5,13.5,1.0,68.35,12.2
2023-08-01 06:00:00,0.33962264150943394,21.0,15.5,1.0,69.35,12.1
2023-08-01 07:00:00,0.3962264150943396,25.0,21.0,1.0,64.1,13.2
2023-08-01 08:00:00,0.09433962264150943,5.0,14.5,1.0,56.8,15.149999999999999
2023-08-01 09:00:00,0.09433962264150943,5.0,15.5,1.0,53.35,16.6
2023-08-01 10:00:00,0.07547169811320754,4.0,15.5,1.0,47.95,19.4
2023-08-01 11:00:00,0.018867924528301886,1.0,11.0,1.0,44.4,20.6
2023-08-01 12:00:00,0.022641509433962266,,,,,
2023-08-01 13:00:00,0.02641509433962264,,,,,
2023-08-01 14:00:00,0.03018867924528302,,,,,
2023-08-01 15:00:00,0.033962264150943396,,,,,
2023-08-01 16:00:00,0.03773584905660377,2.5,14.5,,47.2,16.0
2023-08-01 17:00:00,0.018867924528301886,1.0,13.0,,45.8,16.6
2023-08-01 18:00:00,0.05660377358490566,3.5,10.5,,49.349999999999994,14.3
2023-08-01 19:00:00,0.07547169811320754,4.0,11.0,,51.6,13.4
2023-08-01 20:00:00,0.2641509433962264,14.0,20.0,,54.5,12.9
2023-08-01 21:00:00,0.0660377358490566,4.0,20.5,,55.150000000000006,12.7
2023-08-01 22:00:00,0.12169811320754717,,,,,
2023-08-01 23:00:00,0.17735849056603772,,,,,
2023-08-02 00:00:00,0.23301886792452828,,,,,
2023-08-02 01:00:00,0.28867924528301886,,,,,
2023-08-02 02:00:00,0.3443396226415094,,,,,
2023-08-02 03:00:00,0.39999999999999997,,,,,
2023-08-02 04:00:00,0.4556603773584905,,,,,
2023-08-02 05:00:00,0.5113207547169811,,,,,
2023-08-02 06:00:00,0.5669811320754717,,,,,
2023-08-02 07:00:00,0.6226415094339622,39.0,12.5,,65.35,11.5
2023-08-02 08:00:00,0.6226415094339622,39.0,10.0,,61.9,12.9
2023-08-02 09:00:00,0.6226415094339622,45.0,19.0,,54.8,16.3
2023-08-02 10:00:00,0.24528301886792453,15.0,16.0,,47.4,19.8
2023-08-02 11:00:00,0.0,0.0,18.0,,43.5,20.3
2023-08-02 12:00:00,0.018867924528301886,,,,,
2023-08-02 13:00:00,0.03773584905660377,,,,,
2023-08-02 14:00:00,0.05660377358490566,5.0,25.0,,36.3,24.3
2023-08-02 15:00:00,0.05660377358490566,3.0,18.0,,36.5,22.9
